Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2003-02-14,481.98
2003-02-17,490.82
2003-02-18,499.7
2003-02-19,483.78
2003-02-20,476.24
2003-02-21,483.8
2003-02-24,473.36
2003-02-25,455.99
2003-02-26,451.09
2003-02-27,461.05
2003-02-28,469.01
2003-03-03,469.37
2003-03-04,458.56
2003-03-05,455.83
2003-03-06,447.67
2003-03-07,436.52
2003-03-10,424.24
2003-03-11,423.79
2003-03-12,405.23
2003-03-13,432.68
2003-03-14,455.64
2003-03-17,472.79
2003-03-18,471.88
2003-03-19,479.18
2003-03-20,472.55
2003-03-21,492.75
2003-03-24,465.51
2003-03-25,478.7
2003-03-26,476.0
2003-03-27,467.2
2003-03-28,467.93
2003-03-31,447.02
2003-04-01,453.69
2003-04-02,474.1
2003-04-03,479.09
2003-04-04,487.91
2003-04-07,507.97
2003-04-08,500.88
2003-04-09,500.28
2003-04-10,488.39
2003-04-11,493.9
2003-04-14,499.72
2003-04-15,509.34
2003-04-16,504.34
2003-04-17,511.34
2003-04-22,515.84
2003-04-23,520.77
2003-04-24,509.96
2003-04-25,501.49
2003-04-28,517.69
2003-04-29,512.89
2003-04-30,513.52
2003-05-01,513.52
2003-05-02,514.19
2003-05-05,520.78
2003-05-06,529.34
2003-05-07,522.68
2003-05-08,507.18
2003-05-09,513.44
2003-05-12,514.3
2003-05-13,513.17
2003-05-14,512.51
2003-05-15,520.07
2003-05-16,522.64
2003-05-19,500.74
2003-05-20,500.97
2003-05-21,496.74
2003-05-22,503.99
2003-05-23,500.56
2003-05-26,499.58
2003-05-27,503.5
2003-05-28,514.7
2003-05-29,515.49
2003-05-30,519.78
2003-06-02,531.09
2003-06-03,528.17
2003-06-04,534.53
2003-06-05,528.05
2003-06-06,540.58
2003-06-09,533.14
2003-06-10,538.05
2003-06-11,547.74
2003-06-12,554.42
2003-06-13,545.57
2003-06-16,557.18
2003-06-17,560.25
2003-06-18,565.05
2003-06-19,557.12
2003-06-20,562.34
2003-06-23,547.86
2003-06-24,547.01
2003-06-25,548.57
2003-06-26,548.37
2003-06-27,548.51
2003-06-30,540.92
2003-07-01,529.32
2003-07-02,541.29
2003-07-03,541.91
2003-07-04,538.89
2003-07-07,556.31
2003-07-08,557.59
2003-07-09,553.53
2003-07-10,546.8
2003-07-11,554.2
2003-07-14,563.54
2003-07-15,560.39
2003-07-16,556.95
2003-07-17,548.32
2003-07-18,550.25
2003-07-21,541.69
2003-07-22,545.51
2003-07-23,543.76
2003-07-24,555.36
2003-07-25,547.39
2003-07-28,557.39
2003-07-29,553.72
2003-07-30,556.75
2003-07-31,564.79
2003-08-01,555.97
2003-08-04,550.72
2003-08-05,556.44
2003-08-06,546.48
2003-08-07,546.19
2003-08-08,551.89
2003-08-11,556.26
2003-08-12,560.19
2003-08-13,560.45
2003-08-14,570.84
2003-08-15,571.92
2003-08-18,577.95
2003-08-19,579.12
2003-08-20,575.4
2003-08-21,580.18
2003-08-22,582.34
2003-08-25,575.94
2003-08-26,569.67
2003-08-27,574.98
2003-08-28,578.4
2003-08-29,574.07
2003-09-01,583.99
2003-09-02,583.74
2003-09-03,593.12
2003-09-04,592.5
2003-09-05,587.11
2003-09-08,591.78
2003-09-09,584.7
2003-09-10,576.05
2003-09-11,577.67
2003-09-12,571.84
2003-09-15,573.83
2003-09-16,580.48
2003-09-17,580.83
2003-09-18,585.71
2003-09-19,579.85
2003-09-22,564.5
2003-09-23,559.77
2003-09-24,556.25
2003-09-25,553.51
2003-09-26,549.64
2003-09-29,547.89
2003-09-30,537.95
2003-10-01,547.69
2003-10-02,546.66
2003-10-03,565.03
2003-10-06,560.68
2003-10-07,556.08
2003-10-08,555.47
2003-10-09,568.38
2003-10-10,565.6
2003-10-13,575.7
2003-10-14,573.23
2003-10-15,577.8
2003-10-16,574.74
2003-10-17,573.18
2003-10-20,573.48
2003-10-21,575.27
2003-10-22,564.0
2003-10-23,559.3
2003-10-24,557.84
2003-10-27,564.53
2003-10-28,571.35
2003-10-29,574.38
2003-10-30,577.98
2003-10-31,578.77
2003-11-03,591.67
2003-11-04,590.69
2003-11-05,586.78
2003-11-06,590.55
2003-11-07,597.5
2003-11-10,591.99
2003-11-11,588.8
2003-11-12,590.65
2003-11-13,592.82
2003-11-14,597.35
2003-11-17,581.42
2003-11-18,580.96
2003-11-19,578.85
2003-11-20,577.52
2003-11-21,579.66
2003-11-24,591.8
2003-11-25,590.24
2003-11-26,588.95
2003-11-27,592.62
2003-11-28,591.4
2003-12-01,601.33
2003-12-02,599.61
2003-12-03,605.69
2003-12-04,605.59
2003-12-05,600.78
2003-12-08,596.14
2003-12-09,600.91
2003-12-10,598.24
2003-12-11,603.63
2003-12-12,603.78
2003-12-15,606.79
2003-12-16,606.42
2003-12-17,605.33
2003-12-18,610.38
2003-12-19,612.75
2003-12-22,610.24
2003-12-23,611.92
2003-12-24,612.71
2003-12-29,617.01
2003-12-30,618.33
2003-12-31,620.71
2004-01-02,629.22
2004-01-05,631.58
2004-01-06,631.1
2004-01-07,625.84
2004-01-08,634.57
2004-01-09,629.81
2004-01-12,628.52
2004-01-13,630.34
2004-01-14,636.52
2004-01-15,639.16
2004-01-16,644.82
2004-01-19,647.97
2004-01-20,643.39
2004-01-21,646.6
2004-01-22,650.65
2004-01-23,651.22
2004-01-26,647.15
2004-01-27,649.36
2004-01-28,652.18
2004-01-29,643.91
2004-01-30,639.2
2004-02-02,642.69
2004-02-03,639.84
2004-02-04,635.04
2004-02-05,634.23
2004-02-06,638.13
2004-02-09,646.54
2004-02-10,648.78
2004-02-11,651.0
2004-02-12,652.23
2004-02-13,644.26
2004-02-16,647.98
2004-02-17,652.03
2004-02-18,652.53
2004-02-19,660.49
2004-02-20,654.05
2004-02-23,654.75
2004-02-24,645.42
2004-02-25,646.87
2004-02-26,649.37
2004-02-27,651.54
2004-03-01,657.25
2004-03-02,663.57
2004-03-03,659.11
2004-03-04,664.92
2004-03-05,663.35
2004-03-08,666.52
2004-03-09,658.26
2004-03-10,658.18
2004-03-11,638.21
2004-03-12,638.22
2004-03-15,620.67
2004-03-16,624.51
2004-03-17,635.46
2004-03-18,621.92
2004-03-19,623.76
2004-03-22,610.76
2004-03-23,611.11
2004-03-24,608.49
2004-03-25,619.84
2004-03-26,623.25
2004-03-29,630.9
2004-03-30,629.53
2004-03-31,628.61
2004-04-01,635.87
2004-04-02,650.61
2004-04-05,655.3
2004-04-06,646.09
2004-04-07,643.11
2004-04-08,645.27
2004-04-13,652.44
2004-04-14,644.92
2004-04-15,644.45
2004-04-16,647.49
2004-04-19,645.75
2004-04-20,650.17
2004-04-21,644.9
2004-04-22,649.91
2004-04-23,653.74
2004-04-26,652.99
2004-04-27,652.71
2004-04-28,641.81
2004-04-29,635.94
2004-04-30,632.2
2004-05-03,637.74
2004-05-04,636.21
2004-05-05,641.74
2004-05-06,628.87
2004-05-07,626.85
2004-05-10,610.5
2004-05-11,618.86
2004-05-12,609.54
2004-05-13,616.91
2004-05-14,613.73
2004-05-17,605.74
2004-05-18,610.01
2004-05-19,622.34
2004-05-20,617.56
2004-05-21,615.03
2004-05-24,622.25
2004-05-25,618.42
2004-05-26,625.35
2004-05-27,630.59
2004-05-28,627.62
2004-05-31,630.55
2004-06-01,622.39
2004-06-02,626.26
2004-06-03,628.17
2004-06-04,635.32
2004-06-07,642.65
2004-06-08,642.78
2004-06-09,639.8
2004-06-10,642.74
2004-06-11,642.58
2004-06-14,633.9
2004-06-15,640.23
2004-06-16,645.17
2004-06-17,645.17
2004-06-18,648.59
2004-06-21,648.61
2004-06-22,640.75
2004-06-23,643.33
2004-06-24,650.13
2004-06-25,649.32
2004-06-28,654.2
2004-06-29,651.56
2004-06-30,647.53
2004-07-01,646.92
2004-07-02,641.71
2004-07-05,641.92
2004-07-06,637.31
2004-07-07,637.17
2004-07-08,640.07
2004-07-09,639.93
2004-07-12,636.36
2004-07-13,637.07
2004-07-14,635.13
2004-07-15,626.11
2004-07-16,625.56
2004-07-19,621.97
2004-07-20,624.38
2004-07-21,629.17
2004-07-22,617.99
2004-07-23,616.38
2004-07-26,608.81
